year,datebegin,City,Country,Station area,Station type,AQI
2562,9/10/2562,Sofia,Bulgaria,Urban,Background,13.4
2562,10/10/2562,Sofia,Bulgaria,Urban,Background,14.7
2562,11/10/2562,Sofia,Bulgaria,Urban,Background,11
2562,12/10/2562,Sofia,Bulgaria,Urban,Background,10.2
2562,13/10/2562,Sofia,Bulgaria,Urban,Background,15.6
2562,14/10/2562,Sofia,Bulgaria,Urban,Background,17
2562,15/10/2562,Sofia,Bulgaria,Urban,Background,21.3
2562,16/10/2562,Sofia,Bulgaria,Urban,Background,21.3
2562,17/10/2562,Sofia,Bulgaria,Urban,Background,26
2562,18/10/2562,Sofia,Bulgaria,Urban,Background,25.8
2562,19/10/2562,Sofia,Bulgaria,Urban,Background,25.3
2562,20/10/2562,Sofia,Bulgaria,Urban,Background,25
2562,21/10/2562,Sofia,Bulgaria,Urban,Background,30.1
2562,22/10/2562,Sofia,Bulgaria,Urban,Background,30.2
2562,23/10/2562,Sofia,Bulgaria,Urban,Background,29
2562,24/10/2562,Sofia,Bulgaria,Urban,Background,26.8
2562,25/10/2562,Sofia,Bulgaria,Urban,Background,25.3
2562,26/10/2562,Sofia,Bulgaria,Urban,Background,24.6
2562,27/10/2562,Sofia,Bulgaria,Urban,Background,23.8
2562,28/10/2562,Sofia,Bulgaria,Urban,Background,30.9
2562,29/10/2562,Sofia,Bulgaria,Urban,Background,44
2562,30/10/2562,Sofia,Bulgaria,Urban,Background,63.9
2562,31/10/2562,Sofia,Bulgaria,Urban,Background,16.4
2562,1/11/2562,Sofia,Bulgaria,Urban,Background,5.6
2562,2/11/2562,Sofia,Bulgaria,Urban,Background,9.7
2562,3/11/2562,Sofia,Bulgaria,Urban,Background,17.3
2562,4/11/2562,Sofia,Bulgaria,Urban,Background,10.2
2562,5/11/2562,Sofia,Bulgaria,Urban,Background,5.4
2562,6/11/2562,Sofia,Bulgaria,Urban,Background,6
2562,7/11/2562,Sofia,Bulgaria,Urban,Background,11.1
2562,8/11/2562,Sofia,Bulgaria,Urban,Background,13.3
2562,9/11/2562,Sofia,Bulgaria,Urban,Background,17.2
2562,10/11/2562,Sofia,Bulgaria,Urban,Background,14
2562,11/11/2562,Sofia,Bulgaria,Urban,Background,23.7
2562,12/11/2562,Sofia,Bulgaria,Urban,Background,26
2562,13/11/2562,Sofia,Bulgaria,Urban,Background,21.9
2562,14/11/2562,Sofia,Bulgaria,Urban,Background,27.9
2562,15/11/2562,Sofia,Bulgaria,Urban,Background,27.4
2562,16/11/2562,Sofia,Bulgaria,Urban,Background,34.4
2562,17/11/2562,Sofia,Bulgaria,Urban,Background,23.2
2562,18/11/2562,Sofia,Bulgaria,Urban,Background,20.6
2562,19/11/2562,Sofia,Bulgaria,Urban,Background,19.7
2562,20/11/2562,Sofia,Bulgaria,Urban,Background,126.3
2562,21/11/2562,Sofia,Bulgaria,Urban,Background,19.1
2562,22/11/2562,Sofia,Bulgaria,Urban,Background,7.6
2562,23/11/2562,Sofia,Bulgaria,Urban,Background,4.7
2562,24/11/2562,Sofia,Bulgaria,Urban,Background,10.3
2562,25/11/2562,Sofia,Bulgaria,Urban,Background,10.4
2562,26/11/2562,Sofia,Bulgaria,Urban,Background,6.2
2562,27/11/2562,Sofia,Bulgaria,Urban,Background,23.7
2562,28/11/2562,Sofia,Bulgaria,Urban,Background,28
2562,29/11/2562,Sofia,Bulgaria,Urban,Background,16.9
2562,30/11/2562,Sofia,Bulgaria,Urban,Background,11.8
2562,1/12/2562,Sofia,Bulgaria,Urban,Background,13.3
2562,2/12/2562,Sofia,Bulgaria,Urban,Background,52.5
2562,3/12/2562,Sofia,Bulgaria,Urban,Background,31.7
2562,4/12/2562,Sofia,Bulgaria,Urban,Background,19
2562,11/12/2562,Sofia,Bulgaria,Urban,Background,65.4
2562,12/12/2562,Sofia,Bulgaria,Urban,Background,21
2562,13/12/2562,Sofia,Bulgaria,Urban,Background,30.4
2562,14/12/2562,Sofia,Bulgaria,Urban,Background,25.3
2562,15/12/2562,Sofia,Bulgaria,Urban,Background,28.3
2562,16/12/2562,Sofia,Bulgaria,Urban,Background,61
2563,9/1/2563,Sofia,Bulgaria,Urban,Background,39.3
2563,10/1/2563,Sofia,Bulgaria,Urban,Background,71.1
2563,11/1/2563,Sofia,Bulgaria,Urban,Background,49.8
2563,12/1/2563,Sofia,Bulgaria,Urban,Background,45.2
2563,13/1/2563,Sofia,Bulgaria,Urban,Background,51.8
2563,14/1/2563,Sofia,Bulgaria,Urban,Background,46.8
2563,15/1/2563,Sofia,Bulgaria,Urban,Background,62.9
2563,16/1/2563,Sofia,Bulgaria,Urban,Background,52.5
2563,17/1/2563,Sofia,Bulgaria,Urban,Background,45.7
2563,18/1/2563,Sofia,Bulgaria,Urban,Background,21.9
2563,19/1/2563,Sofia,Bulgaria,Urban,Background,26.3
2563,20/1/2563,Sofia,Bulgaria,Urban,Background,23.6
2563,21/1/2563,Sofia,Bulgaria,Urban,Background,26.4
2563,22/1/2563,Sofia,Bulgaria,Urban,Background,36.4
2563,23/1/2563,Sofia,Bulgaria,Urban,Background,34.2
2563,24/1/2563,Sofia,Bulgaria,Urban,Background,46.8
2563,25/1/2563,Sofia,Bulgaria,Urban,Background,75
2563,26/1/2563,Sofia,Bulgaria,Urban,Background,56.4
2563,27/1/2563,Sofia,Bulgaria,Urban,Background,47.7
2563,28/1/2563,Sofia,Bulgaria,Urban,Background,23
2563,29/1/2563,Sofia,Bulgaria,Urban,Background,17.5
2563,30/1/2563,Sofia,Bulgaria,Urban,Background,19.3
2563,31/1/2563,Sofia,Bulgaria,Urban,Background,18.3
2563,1/2/2563,Sofia,Bulgaria,Urban,Background,10.9
2563,2/2/2563,Sofia,Bulgaria,Urban,Background,27.2
2563,3/2/2563,Sofia,Bulgaria,Urban,Background,21.6
2563,4/2/2563,Sofia,Bulgaria,Urban,Background,14.9
2563,5/2/2563,Sofia,Bulgaria,Urban,Background,12.7
2563,6/2/2563,Sofia,Bulgaria,Urban,Background,14.1
2563,7/2/2563,Sofia,Bulgaria,Urban,Background,15.5
2563,8/2/2563,Sofia,Bulgaria,Urban,Background,20.1
2563,9/2/2563,Sofia,Bulgaria,Urban,Background,53.6
2563,10/2/2563,Sofia,Bulgaria,Urban,Background,93.8
2563,11/2/2563,Sofia,Bulgaria,Urban,Background,23.4
2563,12/2/2563,Sofia,Bulgaria,Urban,Background,14.9
2563,13/2/2563,Sofia,Bulgaria,Urban,Background,15.9
2563,14/2/2563,Sofia,Bulgaria,Urban,Background,33.8
2563,15/2/2563,Sofia,Bulgaria,Urban,Background,21.4
2563,16/2/2563,Sofia,Bulgaria,Urban,Background,28.6
2563,17/2/2563,Sofia,Bulgaria,Urban,Background,44.7
2563,18/2/2563,Sofia,Bulgaria,Urban,Background,35.7
